title	genre	north_america_release	source_page
The Lego Movie Videogame	Action-adventure	Feb 4, 2014	List_of_PlayStation_Vita_games_(I–L)
The Long Reach	Survival horror	Aug 14, 2018	List_of_PlayStation_Vita_games_(I–L)
The Longest 5 Minutes	Adventure	Feb 13, 2018	List_of_PlayStation_Vita_games_(I–L)
The Lost Child	Role-playing	Jun 19, 2018	List_of_PlayStation_Vita_games_(I–L)
The Mooseman	Adventure	Jan 5, 2022	List_of_PlayStation_Vita_games_(M–O)
The Muppets Movie Adventures	Action-adventure	Sep 1, 2015	List_of_PlayStation_Vita_games_(M–O)
The Pinball Arcade	Pinball	Apr 10, 2012	List_of_PlayStation_Vita_games_(P–R)
The Quiet Collection	Adventure	Aug 18, 2015	List_of_PlayStation_Vita_games_(P–R)
The Sun & Moon	Platform	Apr 26, 2016	List_of_PlayStation_Vita_games_(S)
The Swapper	Puzzle-platform	Aug 5, 2014	List_of_PlayStation_Vita_games_(S)
The Swindle	Puzzle-platform	Jul 28, 2015	List_of_PlayStation_Vita_games_(S)
The Unfinished Swan	Adventure	Oct 28, 2014	List_of_PlayStation_Vita_games_(T–V)
The Walking Dead	Adventure	Aug 20, 2013	List_of_PlayStation_Vita_games_(W–Z)
The Walking Dead: Season Two	Adventure	Nov 4, 2014	List_of_PlayStation_Vita_games_(W–Z)
The Wolf Among Us	Adventure	Nov 4, 2014	List_of_PlayStation_Vita_games_(W–Z)
Thomas Was Alone	Puzzle-platform	Apr 23, 2013	List_of_PlayStation_Vita_games_(T–V)
Three Fourths Home: Extended Edition	Visual novel	Oct 6, 2015	List_of_PlayStation_Vita_games_(T–V)
Thunder Paw	Platform	Mar 17, 2020	List_of_PlayStation_Vita_games_(T–V)
Thy Sword	Platform	Mar 12, 2020	List_of_PlayStation_Vita_games_(T–V)
Tic-Tac-Letters by POWGI	Platform	Oct 1, 2019	List_of_PlayStation_Vita_games_(T–V)
Time Recoil	Shooter	Jan 30, 2018	List_of_PlayStation_Vita_games_(T–V)
Timespinner	Metroidvania	Sep 25, 2018	List_of_PlayStation_Vita_games_(T–V)
Tiny Troopers: Joint Ops	Shooter	Oct 28, 2014	List_of_PlayStation_Vita_games_(T–V)
Titan Attacks!	RTS/tower defense	May 6, 2014	List_of_PlayStation_Vita_games_(T–V)
Titan Souls	Action-adventure	Apr 14, 2015	List_of_PlayStation_Vita_games_(T–V)
Tokyo Tattoo Girls	Simulation	Nov 14, 2017	List_of_PlayStation_Vita_games_(T–V)
Tokyo Twilight Ghost Hunters: Daybreak Special Gigs	Tactical role-playing	Sep 20, 2016	List_of_PlayStation_Vita_games_(T–V)
Tokyo Twilight Ghosthunters	Tactical role-playing	Mar 10, 2015	List_of_PlayStation_Vita_games_(T–V)
Tokyo Xanadu	Action role-playing	Jun 30, 2017	List_of_PlayStation_Vita_games_(T–V)
Toro's Friend Network	Application	Jun 4, 2013	List_of_PlayStation_Vita_games_(T–V)
Torquel	Platform	Aug 11, 2015	List_of_PlayStation_Vita_games_(T–V)
Total Recoil	Action	Jul 8, 2013	List_of_PlayStation_Vita_games_(T–V)
Touch My Katamari	Action	Feb 22, 2012	List_of_PlayStation_Vita_games_(T–V)
Touhou Double Focus	Platform	Mar 21, 2017	List_of_PlayStation_Vita_games_(T–V)
Touhou Genso Wanderer	Roguelike	Mar 21, 2017	List_of_PlayStation_Vita_games_(T–V)
Touhou Kobuto V: Burst Battle	Fighting	Oct 10, 2017	List_of_PlayStation_Vita_games_(T–V)
Toukiden 2	Action role-playing	Mar 21, 2017	List_of_PlayStation_Vita_games_(T–V)
Toukiden: Kiwami	Action role-playing	Mar 31, 2015	List_of_PlayStation_Vita_games_(T–V)
Toukiden: The Age of Demons	Action role-playing	Feb 11, 2014	List_of_PlayStation_Vita_games_(T–V)
Tower of Beatrice, The	Adventure	Jul 31, 2019	List_of_PlayStation_Vita_games_(T–V)
TowerFall Ascension	Action	Dec 15, 2015	List_of_PlayStation_Vita_games_(T–V)
Treasure Park	Puzzle	Sep 4, 2012	List_of_PlayStation_Vita_games_(T–V)
Treasures of Montezuma 4	Puzzle	Dec 22, 2015	List_of_PlayStation_Vita_games_(T–V)
Treasures of Montezuma: Arena	Puzzle	Jul 29, 2014	List_of_PlayStation_Vita_games_(T–V)
Treasures of Montezuma: Blitz	Puzzle	Apr 10, 2012	List_of_PlayStation_Vita_games_(T–V)
Trillion: God of Destruction	Role-playing	Mar 29, 2016	List_of_PlayStation_Vita_games_(T–V)
Twin Breaker: A Sacred Symbols Adventure	Action	Mar 24, 2020	List_of_PlayStation_Vita_games_(T–V)
Twin Robots	Platform	Oct 3, 2017	List_of_PlayStation_Vita_games_(T–V)
TxK	Shooter	Feb 11, 2014	List_of_PlayStation_Vita_games_(T–V)
Type:Rider	Platform	Jul 12, 2016	List_of_PlayStation_Vita_games_(T–V)
Ultimate Marvel vs. Capcom 3	Fighting	Feb 15, 2012	List_of_PlayStation_Vita_games_(T–V)
Ultra Mission	Shooter	July 22, 2021	List_of_PlayStation_Vita_games_(T–V)
Ultracore	Run and gun	July 21, 2020	List_of_PlayStation_Vita_games_(T–V)
Ultratron	Shooter	May 12, 2015	List_of_PlayStation_Vita_games_(T–V)
Uncanny Valley	Survival horror	Feb 7, 2017	List_of_PlayStation_Vita_games_(T–V)
Uncharted: Fight for Fortune	Collectible card game	Dec 4, 2012	List_of_PlayStation_Vita_games_(T–V)
Uncharted: Golden Abyss	Action-adventure	Feb 15, 2012	List_of_PlayStation_Vita_games_(T–V)
Under Night In-Birth Exe:Latest	Fighting	Feb 9, 2018	List_of_PlayStation_Vita_games_(T–V)
Undertale	Role-playing	Aug 15, 2017	List_of_PlayStation_Vita_games_(T–V)
Unepic	Action-adventure	Mar 29, 2016	List_of_PlayStation_Vita_games_(T–V)
Unit 13	Third-person shooter	Mar 6, 2012	List_of_PlayStation_Vita_games_(T–V)
UnMetal	Action-adventure	Apr 21, 2021	List_of_PlayStation_Vita_games_(T–V)
Urban Trial Freestyle	Platform racing	Feb 19, 2013	List_of_PlayStation_Vita_games_(T–V)
Utawarerumono: Mask of Deception	Tactical role-playing visual novel	May 23, 2017	List_of_PlayStation_Vita_games_(T–V)
Utawarerumono: Mask of Truth	Tactical role-playing visual novel	Sep 5, 2017	List_of_PlayStation_Vita_games_(T–V)
Utawarerumono: Prelude to the Fallen	Tactical role-playing visual novel	May 29, 2020	List_of_PlayStation_Vita_games_(T–V)
VA-11 HALL-A	Visual novel Simulation	Nov 14, 2017	List_of_PlayStation_Vita_games_(T–V)
Valhalla Knights 3	Action role-playing	Oct 15, 2013	List_of_PlayStation_Vita_games_(T–V)
Valkyria Revolution	Action role-playing	Jun 27, 2017	List_of_PlayStation_Vita_games_(T–V)
Valkyrie Drive: Bhikkhuni	Beat 'em up	Sep 16, 2016	List_of_PlayStation_Vita_games_(T–V)
Vasara Collection	Shooter	Aug 13, 2019	List_of_PlayStation_Vita_games_(T–V)
Vasilis	Adventure	Feb 26, 2020	List_of_PlayStation_Vita_games_(T–V)
Vegas Party	Board game	Jan 3, 2018	List_of_PlayStation_Vita_games_(T–V)
Velocibox	Endless runner	Jul 28, 2015	List_of_PlayStation_Vita_games_(T–V)
Velocity 2X	Shoot 'em up	Sep 2, 2014	List_of_PlayStation_Vita_games_(T–V)
Velocity Ultra	Shoot 'em up	Jul 2, 2013	List_of_PlayStation_Vita_games_(T–V)
Vertical Drop Heroes HD	Platform	Feb 14, 2017	List_of_PlayStation_Vita_games_(T–V)
Virtua Tennis 4: World Tour Edition	Sports	Feb 15, 2012	List_of_PlayStation_Vita_games_(T–V)
Vitamin Z	Shooter	May 27, 2015	List_of_PlayStation_Vita_games_(T–V)
Volgarr the Viking	Action-platform	Nov 16, 2016	List_of_PlayStation_Vita_games_(T–V)
Volume	Stealth	Jan 6, 2016	List_of_PlayStation_Vita_games_(T–V)
Vostok Inc.	Shooter	Sep 22, 2017	List_of_PlayStation_Vita_games_(T–V)
VVVVVV	Platform	Aug 25, 2015	List_of_PlayStation_Vita_games_(T–V)
Waking Violet	Puzzle	Jul 3, 2018	List_of_PlayStation_Vita_games_(W–Z)
Wanderjahr	Role-playing	Aug 31, 2016	List_of_PlayStation_Vita_games_(W–Z)
Wanted Corp.	Action	Nov 17, 2016	List_of_PlayStation_Vita_games_(W–Z)
War Theatre	Strategy	Mar 26, 2019	List_of_PlayStation_Vita_games_(W–Z)
War Theatre: Blood of Winter	Strategy	Oct 8, 2021	List_of_PlayStation_Vita_games_(W–Z)
Warlock's Tower	Action	May 28, 2019	List_of_PlayStation_Vita_games_(W–Z)
Warriors Orochi 3 Ultimate	Hack and slash	Sep 2, 2014	List_of_PlayStation_Vita_games_(W–Z)
We Are Doomed	Shoot 'em up	Feb 9, 2016	List_of_PlayStation_Vita_games_(W–Z)
When Vikings Attack	Action	Nov 7, 2012	List_of_PlayStation_Vita_games_(W–Z)
Whispering Willows	Adventure	Jun 30, 2015	List_of_PlayStation_Vita_games_(W–Z)
Windjammers	Sports	Aug 29, 2017	List_of_PlayStation_Vita_games_(W–Z)
Wipeout 2048	Racing	Feb 15, 2012	List_of_PlayStation_Vita_games_(W–Z)
Witchcrafty	Platform	Jul 20, 2021	List_of_PlayStation_Vita_games_(W–Z)
Without Escape	Adventure	Jan 14, 2020	List_of_PlayStation_Vita_games_(W–Z)
Wizards of Brandel	Role-playing	Dec 3, 2019	List_of_PlayStation_Vita_games_(W–Z)
Woah Dave!	Platform	Jan 6, 2015	List_of_PlayStation_Vita_games_(W–Z)
Word Maze by POWGI	Puzzle	Dec 17, 2019	List_of_PlayStation_Vita_games_(W–Z)
Word Search by POWGI	Puzzle	Aug 7, 2018	List_of_PlayStation_Vita_games_(W–Z)
Word Sudoku by POWGI	Puzzle	Oct 23, 2018	List_of_PlayStation_Vita_games_(W–Z)
Word Wheel by POWGI	Puzzle	Jun 4, 2019	List_of_PlayStation_Vita_games_(W–Z)
Wordsweeper by POWGI	Puzzle	Aug 6, 2019	List_of_PlayStation_Vita_games_(W–Z)
World of Final Fantasy	Role-playing	Oct 25, 2016	List_of_PlayStation_Vita_games_(W–Z)
Worms Revolution Extreme	Turn-based strategy	Oct 8, 2013	List_of_PlayStation_Vita_games_(W–Z)
WRC 3: FIA World Rally Championship	Racing	Mar 26, 2013	List_of_PlayStation_Vita_games_(W–Z)
WRC 4: FIA World Rally Championship	Racing	Jul 29, 2014	List_of_PlayStation_Vita_games_(W–Z)
WRC 5	Racing	Oct 13, 2015	List_of_PlayStation_Vita_games_(W–Z)
Wurroom	Adventure	Apr 1, 2020	List_of_PlayStation_Vita_games_(W–Z)
Xblaze Code: Embryo	Visual novel	Jun 24, 2014	List_of_PlayStation_Vita_games_(W–Z)
Xblaze Lost: Memories	Visual novel Quiz	Aug 11, 2015	List_of_PlayStation_Vita_games_(W–Z)
XCOM: Enemy Unknown Plus	Turn-based tactics, tactical role-playing	Mar 22, 2016	List_of_PlayStation_Vita_games_(W–Z)
Xeno Crisis	Twin-stick Shooter	Oct 28, 2019	List_of_PlayStation_Vita_games_(W–Z)
Xenon Valkyrie Plus	Roguelike	Dec 19, 2017	List_of_PlayStation_Vita_games_(W–Z)
Xenoraid	Shoot 'em up	Jan 10, 2017	List_of_PlayStation_Vita_games_(W–Z)
Xeodrifter	Metroidvania	Sep 1, 2015	List_of_PlayStation_Vita_games_(W–Z)
Yomawari: Midnight Shadows	Survival horror	Oct 24, 2017	List_of_PlayStation_Vita_games_(W–Z)
Yomawari: Night Alone	Survival horror	Oct 25, 2016	List_of_PlayStation_Vita_games_(W–Z)
Ys Origin	Action role-playing	May 30, 2017	List_of_PlayStation_Vita_games_(W–Z)
Ys VIII: Lacrimosa of Dana	Action role-playing	Sep 12, 2017	List_of_PlayStation_Vita_games_(W–Z)
Ys: Memories of Celceta	Action role-playing	Nov 26, 2013	List_of_PlayStation_Vita_games_(W–Z)
Yumeutsutsu Re:After	Visual novel	Jul 23, 2020	List_of_PlayStation_Vita_games_(W–Z)
Yumeutsutsu Re:Master	Visual novel	Jul 23, 2020	List_of_PlayStation_Vita_games_(W–Z)
Z-Run	Endless runner	Jun 24, 2014	List_of_PlayStation_Vita_games_(W–Z)
Zen Pinball 2	Pinball	Sep 4, 2012	List_of_PlayStation_Vita_games_(W–Z)
ZEN Pinball 2: Aliens Vs. Pinball (Expansion)	Pinball	Apr 26, 2016	List_of_PlayStation_Vita_games_(W–Z)
ZEN Pinball 2: Ant-Man Pinball (Expansion)	Pinball	Jul 15, 2015	List_of_PlayStation_Vita_games_(W–Z)
ZEN Pinball 2: Balls of Glory (Expansion)	Pinball	Oct 20, 2015	List_of_PlayStation_Vita_games_(W–Z)
ZEN Pinball 2: Iron & Steel Pack (Expansion)	Pinball	Feb 25, 2015	List_of_PlayStation_Vita_games_(W–Z)
ZEN Pinball 2: Marvel's Avengers: Age of Ultron (Expansion)	Pinball	Apr 21, 2015	List_of_PlayStation_Vita_games_(W–Z)
Zen Pinball 2: Portal Pinball (Expansion)	Pinball	May 26, 2015	List_of_PlayStation_Vita_games_(W–Z)
Zero Escape: The Nonary Games	Visual novel, adventure	Mar 24, 2017	List_of_PlayStation_Vita_games_(W–Z)
Zero Escape: Virtue's Last Reward	Visual novel, adventure	Oct 23, 2012	List_of_PlayStation_Vita_games_(W–Z)
Zero Time Dilemma	Adventure	Jun 28, 2016	List_of_PlayStation_Vita_games_(W–Z)
Zero Zero Zero Zero	Platform	Feb 5, 2020	List_of_PlayStation_Vita_games_(W–Z)
Zeroptian Invasion	Shooter	Apr 23, 2019	List_of_PlayStation_Vita_games_(W–Z)
Zombie Tycoon 2: Brainhov's Revenge	Real-time strategy	Apr 30, 2013	List_of_PlayStation_Vita_games_(W–Z)
Zombies: The Last Survivor	Run and gun	May 24, 2016	List_of_PlayStation_Vita_games_(W–Z)

